task_id,question,
1,"Which of these investment approaches would be most suitable for an investor who wants to ensure that their personal, social and moral views direct the investment decisions?
A. Ethical investing.
B. Thematic investing.
C. Impact investing.
D. Responsible investing.",A
2,"Justin runs an equity fund for a large insurance company whi ch has signed on to the UN Global Compact Principles and th e Principles for Responsible In vestment. His investment strategy will need to: 
i. avoid companies which do not adhere to Task Force on Climate -related Financial Disclosures guidelines 
ii. screen the portfolio on environmental issues 
iii. incorporate ESG issues into the investment process 
iv. invest in companies which adhere to human rights principles
A. iii.
B. i and ii.
C. ii and iii.
D. iii and iv.",D
3,"Which UK body is responsible for issuing the Stewardship Code?
A. The Financial Conduct Authority (FCA).
B. The Financial Policy Committee (FPC).
C. The Financial Ombudsman Service (FOS).
D. The Financial Reporting Council (FRC).",D
4,"A Sovereign Wealth Fund selecting an investment manager with an ESG strategy is likely to focus more on the manager's approach to:
A. ESG engagement and stewardship.
B. Integrating MSCI data while ESG scoring the portfolio.
C. Liquidity of the portfolio and short-term performance.
D. Quantitative analysis of portfolio attribution vs. the benchmark.",A
5,"Which of these least reflects how qualitative ESG data is used in company analysis?
A. To adjust a valuation.
B. To add an opinion to an investment thesis.
C. To modify a financial model.
D. To determine the value at risk for the company.",D
6,"Adjusting the Discounted Cash Flow when integrating ESG into traditional financial analysis is:
A. Not valid at country level.
B. Valid at the level of company, sector or country.
C. Valid only at the level of company.
D. Not valid at sector level.",B
7,"Which action would be undertaken first by an investor wantin g to follow an engagement strategy with a company in a cost effective way?
A. Defining the scope of engagement and prioritising engagemen t activities.
B. Developing a clear process which articulates realistic goal s.
C. Adapting the engagement process to the local context.
D. Framing the engagement topic into a broader strategy discus sion.",A
8,"Which comment best reflects the inclusion of 'bad actor' companies which have poo r ESG scores in ESG mutual funds?
A. Bad actors are never included.
B. Bad actors are rarely included.
C. Bad actors are often included.
D. Bad actors will always be included.",C
9,"A private wealth manager tests using a data provider for its ESG screen to filter out tobacco and finds that the screen eliminates virtually all consumer companies. As consumers are a large percentage of the benchmark index, the ma nager would prefer not to eliminate the whole sector. What is the most precise method the fund could use?
A. GICS 15 Screening.
B. MSCI data.
C. Share of company revenues as agreed with the client.
D. Standard industry classification.",C
10,"What is an indirect environmental impact of a paper company cutting trees and transporting them to its production plant?
A. Carbon emissions from the haulage lorries.
B. Anatural regulator of carbon dioxide is destroyed,
C. Deforestation.
D. Local species are disturbed.",A
11,"Which of the following approaches is most likely to result in an analyst aggregating numeric variables into an ESG score?
A. Company specific research.
B. Fundamental analysis.
C. Stock picking.
D. Quantitative modelling.",D
12,"What impact will a positive ESG rating have on a company's cost of capital?
A. A lower cost of capital.
B. No change to the cost of capital.
C. A higher cost of capital.
D. A more volatile cost of capital.",A
13,"Which of the following sectors have the greatest risk of in creased insurance costs due to physical climate change?
A. Construction and materials.
B. Food and beverage.
C. Media and technology.
D. Travel and leisure.",D
14,"ABC Investment Management owns a 2% stake in a large telecom company, which is in the media due to a surge in employee suicides attributed to pressures in the workplace. Mary, a senior analyst at ABC Investment Management, would like to engage with the company on the issue and sees that a quarterly earnings conference call is coming up. What should Mary do before the quarterly conference call?
A. Arrange a pre-meeting call with the company's investor relations representative.
B. Contact the Investor Forum.
C. Establish clear objectives.
D. Request a meeting with the chairman of the Board.",C
15,"Which of the following is not generally expected for companies which score well on ESG metrics relative to companies scoring less well?
A. They are better able to anticipate environmental change ris ks and opportunities.
B. They enjoy valuation premiums due to changing investor concerns and preferences.
C. They are more disposed to longer term strategic thinking and planning.
D. They are more likely to grow rapidly and offer higher short  term returns.",D
16,"What is the result of an analyst failing to correctly model the risks and opportunities associated with ESG?
A. Systematic underestimation of high ESG performers and overe stimation of ESG under performers.
B. Systematic overestimation of both high ESG performers and E SG under performers.
C. Systematic underestimation of both high ESG performers and ESG under performers.
D. Systematic overestimation of high ESG performers and undere stimation of ESG under performers.",A
17,"*Several questions are associated with the following case study. The material given in the case study will not change.*
CBT's Annual General Meeting (AGM) is two months away. Patrick Weeze is a portfolio manager who owns a significant number of stocks of CBT in his portfolio. His fund is a concentrated portfolio with high idiosyncratic risk and, as a result, he believes that a detailed analysis of the governance of each of his stocks is paramount to its long-term performance. He reviews the relevant documentation regarding CBT's AGM and notes the following:
_	_ CBT provides information on the total amount of CEO remuneration, but no detail on the Key Performance Indicators (KPIs) that influence variable compensation. The CEO's total compensation last year was GBP 1.2 million, 30% of which was fixed salary.
_	_ CBT currently has 10 individuals sitting on its board, 3 of whom are independent. The Chairman is the former CEO who stepped down last year.
_	_ One of the resolutions to be voted at the AGM was put forward by a minority shareholder.The investor asks the company to produce a report on how climate change may affect the company's strategy and financial stability in the long-term.

Patrick is discussing CBT's financial model with his financial analyst. He asks the analyst to consider how the model may take into account the KPIs for the CEO's variable remuneration which are not disclosed. He is presented with 4 options.
Which one is he most likely to select to implement?
A. Increase the company's estimated costs for next year by an additional GBP 1.2 millionto account for the lack of transparency regarding the KPIs.
B. Reduce the company's current total costs by GBP 360,000, as there are no concernsregarding the fixed salary portion of the compensation.
C. Increase the cost of capital from 4.6% to 4.8% to reflect the increased risk stemmedfrom uncertainty around alignment of interest.
D. Decrease the cost of capital from 4.6% to 4.4% to reflect the reduced level of certaintyaround alignment of interest.",C
